id;store_name;store_status;timestamp
1;mobile Fish;Home Loan Account Table Computer;2019-11-03T20:51:23
2;FTP Savings Account;deposit Tasty Metal Bacon Implementation;2019-11-03T22:13:54
3;Officer;methodology Albania;2019-11-03T11:53:02
4;intangible;enable Gorgeous Frozen Pants;2019-11-03T16:39:51
5;Licensed Savings Account;Cambridgeshire Mississippi;2019-11-03T21:08:09
6;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;2019-11-03T16:42:33
7;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;2019-11-03T06:21:01
8;hardware Costa Rica Mayotte;Industrial;2019-11-03T02:02:09
9;Views e-enable Communications;National Awesome sky blue;2019-11-03T21:09:54
10;software scale interactive;Louisiana Specialist Home Loan Account;2019-11-03T15:37:36
